,Unnamed: 0,dc_abstract,dc_fundingReferences,dc_language,dc_publicationYear,dc_publisher,dc_title,dc_types_resourceTypeGeneral,dc_url,doi,group,label_vulnerable,source,flagged_words_pen,flagged_words_nyt,flagged_words_all,has_flagged_word,num_flagged_words,num_pen_words,num_nyt_words,dc_funder_first,abstract_len,title_len
12,18,"The U.S. Department of the Treasury's Community Development Financial
 Institutions Fund (CDFI Fund) today released a summary report and data 
collected on all New Markets Tax Credit (NMTC) investments across the 
nation from fiscal year (FY) 2003 to FY 2022. The CDFI Fund requires all
 Community Development Entities (CDEs) that have been awarded NMTC 
allocations to submit an annual report detailing how they invested 
Qualified Equity Investment (QEI) proceeds in Low-Income Communities. 
These reports must be submitted to the CDFI Fund by CDEs, along with 
their audited financial statements, within six months after the end of 
their fiscal year.Key highlights from the summary report from FY2003 to FY2022 include:$66.6
 billion in NMTC investments were directed through both Real Estate and 
Non-Real Estate Qualified Active Low-Income Community Business (QALICBs)
 and investments made through other CDEs.Allocatees provided financing to 8,024 QALICBs.NMTC financing has been used to construct or rehabilitate over 259 million square feet of commercial real estate.In FY 2022, NMTC financing helped to create or rehabilitate over 10.5 million square feet of commercial real estate.$27.6 billion in investments were made in community facility projects.In
 FY 2022, 54.9% of Qualified Low-Income Community Investments (QLICIs), 
which totaled more than $1.9 billion, were investments in projects with a
 community facility component.17,667 units of housing that have been created are reported as affordable housing.NMTC
 investments have led to the reported creation or retention of over 
40,000 projected jobs and over 850,000 actual jobs in the business, 
construction and tenant business categories.The summary 
report also documents the extent to which: (1) CDEs go beyond the 
minimum statutory definition of Low-Income Communities by committing to 
serve areas of higher distress, rural areas or targeted populations 
(slides 11-14); (2) CDEs leverage the NMTC to offer financing with 
flexible or non-traditional rates and terms (slides 15-17); and (3) CDEs
 commit to innovative uses of NMTC financing (slides 18-22).<br><br>",[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,NMTC Public Data Release: 2003-2022 Summary Report and Data File,Dataset,https://www.datalumos.org/datalumos/project/224361/version/V1/view,10.3886/E224361V1,A_drp,1,drp,affordable housing; community; definition; equity,equity,affordable housing; community; definition; equity,1,4,4,1,,309,10
13,20,"CDC is collaborating with the National Institutes of Health (NIH), the Food and Drug Administration (FDA), Vitalant Research Institute (VRI), Westat Inc., and numerous blood collection organizations across the United States to conduct a nationwide COVID-19 seroprevalence survey of blood donors. This is the largest nationwide COVID-19 seroprevalence survey to date. De-identified blood samples are tested for antibodies to SARS-CoV-2 to better understand the percentage of people in the United States who have antibodies against SARS-CoV-2 (the virus that causes COVID-19) and to track how this percentage changes over time. Both SARS-CoV-2 infection and COVID-19 vaccines currently used in the United States result in production of anti-spike (anti-S) antibodies but only infection results in production of anti-nucleocapsid (anti-N) antibodies. Combined seroprevalence estimates the proportion of the population with evidence of previous SARS-CoV-2 infection, COVID-19 vaccination, or both. It estimates the proportion of the population with some presumed protection against infection with the virus that causes COVID-19. The term “combined seroprevalence” refers to the combined infection- and vaccination-induced SARS-CoV-2 seroprevalences. This is the population that has anti-S antibodies, regardless of the presence of anti-N antibodies.

This link connects to a webpage that displays the data from the Nationwide Blood Donor Seroprevalence Survey. It offers an interactive visualization available at https://covid.cdc.gov/covid-data-tracker/#nationwide-blood-donor-seroprevalence

Additional information is available at: https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/blood-bank-serosurvey.html
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2020-2021 Nationwide Blood Donor Seroprevalence Survey Combined Infection- and Vaccination-Induced Seroprevalence Estimates,Dataset,https://www.datalumos.org/datalumos/project/243465/version/V1/view,10.3886/E243465V1,A_drp,1,drp,covid-19; vaccines,,covid-19; vaccines,1,2,2,0,,217,12
14,21,"CDC is collaborating with the National Institutes of Health (NIH), the Food and Drug Administration (FDA), Vitalant Research Institute (VRI), Westat Inc., and numerous blood collection organizations across the United States to conduct a nationwide COVID-19 seroprevalence survey of blood donors. This is the largest nationwide COVID-19 seroprevalence survey to date. De-identified blood samples are tested for antibodies to SARS-CoV-2 to better understand the percentage of people in the United States who have antibodies against SARS-CoV-2 (the virus that causes COVID-19) and to track how this percentage changes over time. Both SARS-CoV-2 infection and COVID-19 vaccines currently used in the United States result in production of anti-spike (anti-S) antibodies but only infection results in production of anti-nucleocapsid (anti-N) antibodies. Infection-induced seroprevalence estimates the proportion of the population with evidence of previous SARS-CoV-2 infection and refers to the prevalence of the population with both anti-S and anti-N antibodies.

This link connects to a webpage that displays the data from the Nationwide Blood Donor Seroprevalence Survey. It offers an interactive visualization available at https://covid.cdc.gov/covid-data-tracker/#nationwide-blood-donor-seroprevalence

Additional information is available at: https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/blood-bank-serosurvey.html
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2020-2021 Nationwide Blood Donor Seroprevalence Survey Infection-Induced Seroprevalence Estimates,Dataset,https://www.datalumos.org/datalumos/project/243464/version/V1/view,10.3886/E243464V1,A_drp,1,drp,covid-19; vaccines,,covid-19; vaccines,1,2,2,0,,180,9
15,23,This pdf gives a summary of the CDFI (Community Development Financial Institutions) program and the NACA (Native American CDFI Assistance) Program datasets and the data trends for FY (fiscal year) 2020.<br>,[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,2020 CDFI Program Awardee Performance Data Snapshot,Dataset,https://www.datalumos.org/datalumos/project/224365/version/V1/view,10.3886/E224365V1,A_drp,1,drp,community; native american,native american,community; native american,1,2,2,1,,31,7
16,24,"ART data are made available as part of the National ART Surveillance System (NASS) that collects success rates, services, profiles and annual summary data from fertility clinics across the U.S. There are four datasets available: ART Services and Profiles, ART Patient and Cycle Characteristics, ART Success Rates, and ART Summary. All four datasets may be linked by “ClinicID.” ClinicID is a unique identifier for each clinic that reported cycles. The Patient and Cycle Characteristics dataset summarizes the types of ART services performed and the kinds of patients who received ART procedures in a specific clinic. Please note patient characteristics are presented per cycle rather than per patient. As a result, patients who had more than one ART cycle within the reporting year are represented more than once.
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2020 Final Assisted Reproductive Technology (ART) Patient and Cycle Characteristics,Dataset,https://www.datalumos.org/datalumos/project/243626/version/V1/view,10.3886/E243626V1,A_drp,1,drp,,,,0,0,0,0,,129,10
17,25,"ART data are made available as part of the National ART Surveillance System (NASS) that collects success rates, services, profiles and annual summary data from fertility clinics across the U.S. There are four datasets available: ART Services and Profiles, ART Patient and Cycle Characteristics, ART Success Rates, and ART Summary. All four datasets may be linked by “ClinicID.” ClinicID is a unique identifier for each clinic that reported cycles. The Services and Profiles dataset provides an overview of clinic services, the clinic’s contact information, location, the medical director’s name, and summary statistics.
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2020 Final Assisted Reproductive Technology (ART) Services and Profiles,Dataset,https://www.datalumos.org/datalumos/project/243625/version/V1/view,10.3886/E243625V1,A_drp,1,drp,,,,0,0,0,0,,94,9
18,26,"ART data are made available as part of the National ART Surveillance System (NASS) that collects success rates, services, profiles and annual summary data from fertility clinics across the U.S. There are four datasets available: ART Services and Profiles, ART Patient and Cycle Characteristics, ART Success Rates, and ART Summary. All four datasets may be linked by “ClinicID.” ClinicID is a unique identifier for each clinic that reported cycles. The Success Rates dataset contains success rates for ART cycles started during the year indicated. Since ART success depends on whether patients are using their own eggs or donor eggs, success rates are included separately for these two groups. Success rates for patients using their own eggs are shown per intended retrieval, per actual retrieval, and per transfer. These success rates are reported as cumulative success rates, which take into account transfers that occur within 1 year after an egg retrieval. Since ART success depends on whether patients are using ART for the first time or had prior ART cycles, users can examine success rates for all “Patients using their own eggs” or for “Patients with no prior ART using their own eggs.” For new patients using ART for the first time, the success rates are also shown after 1, 2, or all intended egg retrievals during the reporting year. In addition, the average number of transfers per intended retrieval and the average number of intended retrievals per live-birth delivery are shown. Success rates for ART cycles that involve the transfer of embryos created from donor eggs or donated embryos are shown and are not cumulative. They are based on donor cycles started in the year indicated that had embryo transfers, regardless of when the donor eggs were retrieved. Success rates in this section are not presented by patient age group because previous data show that an intended parent’s age does not substantially affect success when using donor eggs or donated embryos. The success rates are presented by types of embryos and eggs used in the transfer. This dataset excludes cycles that were considered research—that is, cycles performed to evaluate new procedures.
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2020 Final Assisted Reproductive Technology (ART) Success Rates,Dataset,https://www.datalumos.org/datalumos/project/243624/version/V1/view,10.3886/E243624V1,A_drp,1,drp,,,,0,0,0,0,,353,8
19,27,"ART data are made available as part of the National ART Surveillance System (NASS) that collects success rates, services, profiles and annual summary data from fertility clinics across the U.S. There are four datasets available: ART Services and Profiles, ART Patient and Cycle Characteristics, ART Success Rates, and ART Summary. All four datasets may be linked by “ClinicID.” ClinicID is a unique identifier for each clinic that reported cycles. The Summary dataset provides a full snapshot of clinic services and profile, patient characteristics, and ART success rates. It is worth noting that patient medical characteristics, such as age, diagnosis, and ovarian reserve, affect ART treatment’s success. Comparison of success rates across clinics may not be meaningful because of differences in patient populations and ART treatment methods. The success rates displayed in this dataset do not reflect any one patient’s chance of success. Patients should consult with a doctor to understand their chance of success based on their own characteristics.
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2020 Final Assisted Reproductive Technology (ART) Summary,Dataset,https://www.datalumos.org/datalumos/project/243623/version/V1/view,10.3886/E243623V1,A_drp,1,drp,,,,0,0,0,0,,161,7
20,28,"This data set provides statistics about employer and nonemployer businesses from 2020 for the nation, states, and metropolitan statistical areas (MSA). It includes the number of firms, revenue, number of employees, and annual payroll, broken down by industry and owner demographics including as sex, ethnicity, race, and veteran status.<br><br>About NES-D<br>The Nonemployer Statistics by Demographics series (NES-D) provides information on the demographic characteristics of nonemployer businesses. The NES-D is the result of a research project by the Census Bureau to complete the picture of U.S. business ownership by demographics for the United States. Historically, the quinquennial Survey of Business Owners (SBO) provided the only comprehensive source of information on both employer and nonemployer businesses by demographic characteristics of the business owners. In 2017, the SBO was replaced by the Annual Business Survey (ABS). The ABS is an annual survey that collects demographic characteristics from employer businesses. However, the ABS excludes the collection of demographic data from nonemployer businesses. The NES-D was developed to produce similar estimates as ABS on owner demographics for nonemployer businesses. The NES-D is not a survey; rather, it leverages existing individual-level administrative records to assign demographic characteristics to the universe of nonemployer businesses. Demographic characteristics including sex, ethnicity, race, veteran status, owner age, place of birth, and U.S. citizenship are assigned to nonemployer business owners.Together, the NES-D and the ABS will continue to provide the only source of detailed and comprehensive statistics on the scope, nature and activities of all U.S. businesses by the demographic characteristics of the business owners. NES-D data will be available annually by detailed geography and industry levels, receipt-size class, and legal form of organization (LFO). Beginning with the 2019 NES-D, the data will include urban and rural classification.",[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,"2020 Nonemployer Statistics by Demographics series (NES-D): Statistics for Employer and Nonemployer Firms by Industry, Sex, Ethnicity, Race, and Veteran Status for the U.S., States, Metro Areas, and Counties",Dataset,https://www.datalumos.org/datalumos/project/223441/version/V1/view,10.3886/E223441V1,A_drp,1,drp,ethnicity; historically; race; sex,ethnicity; historically; race; sex; status,ethnicity; historically; race; sex; status,1,5,4,5,,286,29
21,30,This pdf gives a summary of the CDFI (Community Development Financial Institutions) program and the NACA (Native American CDFI Assistance) Program datasets and the data trends for FY (fiscal year) 2021.<br>,[],en,2025.0,ICPSR - Interuniversity Consortium for Political and Social Research,CDFI Program and NACA Program Financial Assistance Award RecipientsA Snapshot of FY 2021 Reported Activities,Dataset,https://www.datalumos.org/datalumos/project/224364/version/V1/view,10.3886/E224364V1,A_drp,1,drp,community; native american,native american,community; native american,1,2,2,1,,31,15
22,32,"ART data are made available as part of the National ART Surveillance System (NASS) that collects success rates, services, profiles and annual summary data from fertility clinics across the U.S. There are four datasets available: ART Services and Profiles, ART Patient and Cycle Characteristics, ART Success Rates, and ART Summary. All four datasets may be linked by “ClinicID.” ClinicID is a unique identifier for each clinic that reported cycles. The Patient and Cycle Characteristics dataset summarizes the types of ART services performed and the kinds of patients who received ART procedures in a specific clinic. Please note patient characteristics are presented per cycle rather than per patient. As a result, patients who had more than one ART cycle within the reporting year are represented more than once.
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2021 Final Assisted Reproductive Technology (ART) Patient and Cycle Characteristics,Dataset,https://www.datalumos.org/datalumos/project/243524/version/V1/view,10.3886/E243524V1,A_drp,1,drp,,,,0,0,0,0,,129,10
23,33,"ART data are made available as part of the National ART Surveillance System (NASS) that collects success rates, services, profiles and annual summary data from fertility clinics across the U.S. There are four datasets available: ART Services and Profiles, ART Patient and Cycle Characteristics, ART Success Rates, and ART Summary. All four datasets may be linked by “ClinicID.” ClinicID is a unique identifier for each clinic that reported cycles. The Services and Profiles dataset provides an overview of clinic services, the clinic’s contact information, location, the medical director’s name, and summary statistics.
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2021 Final Assisted Reproductive Technology (ART) Services and Profiles,Dataset,https://www.datalumos.org/datalumos/project/243522/version/V1/view,10.3886/E243522V1,A_drp,1,drp,,,,0,0,0,0,,94,9
24,34,"Data were updated on September 11, 2024.

ART data are made available as part of the National ART Surveillance System (NASS) that collects success rates, services, profiles and annual summary data from fertility clinics across the U.S. There are four datasets available: ART Services and Profiles, ART Patient and Cycle Characteristics, ART Success Rates, and ART Summary. All four datasets may be linked by “ClinicID.” ClinicID is a unique identifier for each clinic that reported cycles. The Success Rates dataset contains success rates for ART cycles started during the year indicated. Since ART success depends on whether patients are using their own eggs or donor eggs, success rates are included separately for these two groups. Success rates for patients using their own eggs are shown per intended retrieval, per actual retrieval, and per transfer. These success rates are reported as cumulative success rates, which take into account transfers that occur within 1 year after an egg retrieval. Since ART success depends on whether patients are using ART for the first time or had prior ART cycles, users can examine success rates for all “Patients using their own eggs” or for “Patients with no prior ART using their own eggs.” For new patients using ART for the first time, the success rates are also shown after 1, 2, or all intended egg retrievals during the reporting year. In addition, the average number of transfers per intended retrieval and the average number of intended retrievals per live-birth delivery are shown. Success rates for ART cycles that involve the transfer of embryos created from donor eggs or donated embryos are shown and are not cumulative. They are based on donor cycles started in the year indicated that had embryo transfers, regardless of when the donor eggs were retrieved. Success rates in this section are not presented by patient age group because previous data show that an intended parent’s age does not substantially affect success when using donor eggs or donated embryos. The success rates are presented by types of embryos and eggs used in the transfer. This dataset excludes cycles that were considered research—that is, cycles performed to evaluate new procedures.
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2021 Final Assisted Reproductive Technology (ART) Success Rates,Dataset,https://www.datalumos.org/datalumos/project/243527/version/V1/view,10.3886/E243527V1,A_drp,1,drp,,,,0,0,0,0,,360,8
25,35,"Data were updated on September 11, 2024.

ART data are made available as part of the National ART Surveillance System (NASS) that collects success rates, services, profiles and annual summary data from fertility clinics across the U.S. There are four datasets available: ART Services and Profiles, ART Patient and Cycle Characteristics, ART Success Rates, and ART Summary. All four datasets may be linked by “ClinicID.” ClinicID is a unique identifier for each clinic that reported cycles. The Summary dataset provides a full snapshot of clinic services and profile, patient characteristics, and ART success rates. It is worth noting that patient medical characteristics, such as age, diagnosis, and ovarian reserve, affect ART treatment’s success. Comparison of success rates across clinics may not be meaningful because of differences in patient populations and ART treatment methods. The success rates displayed in this dataset do not reflect any one patient’s chance of success. Patients should consult with a doctor to understand their chance of success based on their own characteristics.
Read less",[],en,2026.0,ICPSR - Interuniversity Consortium for Political and Social Research,2021 Final Assisted Reproductive Technology (ART) Summary,Dataset,https://www.datalumos.org/datalumos/project/243518/version/V1/view,10.3886/E243518V1,A_drp,1,drp,,,,0,0,0,0,,168,7
