,title,description,target
10,Indicators of Reduced Access to Care Due to the Coronavirus Pandemic During Last 4 Weeks,"The U.S. Census Bureau, in collaboration with five federal agencies, launched the Household Pulse Survey to produce data on the social and economic impacts of Covid-19 on American households.  The Household Pulse Survey was designed to gauge the impact of the pandemic on employment status, consumer spending, food security, housing, education disruptions, and dimensions of physical and mental wellness.

The survey was designed to meet the goal of accurate and timely weekly estimates. It was conducted by an internet questionnaire, with invitations to participate sent by email and text message. The sample frame is the Census Bureau Master Address File Data. Housing units linked to one or more email addresses or cell phone numbers were randomly selected to participate, and one respondent from each housing unit was selected to respond for him or herself. Estimates are weighted to adjust for nonresponse and to match Census Bureau estimates of the population by age, sex, race and ethnicity, and educational attainment. All estimates shown meet the NCHS Data Presentation Standards for Proportions.",1
11,"TIGER/Line Shapefile, 2023, County, Granville County, NC, All Roads","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.
 The All Roads Shapefile includes all features within the MTDB Super Class ""Road/Path Features"" distinguished where the MAF/TIGER Feature Classification Code (MTFCC) for the feature in MTDB that begins with ""S"".  This includes all primary, secondary, local neighborhood, and rural roads, city streets, vehicular trails (4wd), ramps, service drives, alleys, parking lot roads, private roads for service vehicles (logging, oil fields, ranches, etc.), bike paths or trails, bridle/horse paths, walkways/pedestrian trails, and stairways.",0
12,"TIGER/Line Shapefile, 2015,  county, Highland County, OH, Topological Faces-Area Hydrography County-based Relationship File","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.


The Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) contains a record for each face / area hydrography feature relationship.  Face refers to the areal (polygon) topological primitives that make up MTDB.  A face is bounded by one or more edges; its boundary includes only the edges that separate it from other faces, not any interior edges contained within the area of the face.  The face to which a record in the Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) applies can be determined by linking to the Topological Faces Shapefile (FACES.shp) using the permanent topological face identifier (TFID) attribute.  The area hydrography feature to which a record in the Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) applies can be determined by linking to the Area Hydrography Shapefile (AREAWATER.shp) using the area hydrography identifier (HYDROID) attribute.  A face may be part of multiple area water features.  An area water feature may consist of multiple faces.",0
13,Community Development Block Grant (CDBG) Contracts,"Listing of open and closed CDBG contracts between NYS Homes & Community Renewal’s Office of Community Renewal and grant recipients. Details include contract number, project name, project type, activity, contract amount, grant recipient, county, municipality and contract status, for the Community Development Block Grant (CDBG) Program.",1
14,Housing Assistance Program Data - Renters,"The dataset was generated by FEMA’s Individual Assistance (IA) reporting team and contains raw, unedited data from FEMA's National Emergency Management Information System (NEMIS).rnThis dataset contains aggregated, non-PII data for registration renters from FEMA’s Housing Assistance program within the state, county, zip where the registration is valid for the declarations, starting with disaster declaration DR4116 (declared in 2013). Core data elements include number of applicants, county, zip code, and severity of damage, with individual data elements and descriptions listed in the metadata information within the dataset. rnData is self-reported and subject to human error. For example, when an applicant registers online, they enter their street and city address. The system runs a check and suggests a county. The applicant can override that choice. Similarly, with a call center registration, the Human Services Specialist (HSS) representatives are instructed to ask what county they live in. An applicant has the right to choose the county.rnThe financial information is derived from NEMIS and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and application of business rules, this financial information may differ slightly from official publication on public websites such as usaspending.gov. This dataset is not intended to be used for any official federal reporting.rnTo learn more about disaster assistance please visit https://www.fema.gov/individual-disaster-assistance.rnCitation: The Agency’s preferred citation for datasets (API usage or file downloads) can be found on the OpenFEMA Terms and Conditions page, Citing Data section: https://www.fema.gov/about/openfema/terms-conditions.rnIf you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@fema.dhs.gov or call (202) 646-3272. For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",1
15,"TIGER/Line Shapefile, 2018,  state, Montana, Current Secondary School Districts Shapefile State-based","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.

School Districts are single-purpose administrative units within which local officials provide public educational services for the area's residents. The Census Bureau obtains the boundaries, names, local education agency codes, grade ranges, and school district levels for school districts from State officials for the primary purpose of providing the U.S. Department of Education with estimates of the number of children in poverty within each school district. This information serves as the basis for the Department of Education to determine the annual allocation of Title I funding to States and school districts.

TIGER/Line Shapefiles include separate shapefiles for elementary, secondary and unified school districts. The school district boundaries are those in effect for the 2017-2018 school year, i.e., in operation as of January 1, 2018.",0
16,"TIGER/Line Shapefile, Current, County, Hays County, TX, Linear Hydrography","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) System (MTS). The MTS represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.
			
Linear water features include single-line drainage water features and artificial path features that run through double-line drainage features such as rivers and streams and serve as a linear representation of these features. The artificial path features may correspond to those in the U.S. Geological Survey National Hydrographic Dataset (NHD). However, in many cases the features do not match NHD equivalent features and will not carry the NHD metadata codes. These features have a MAF/TIGER Feature Classification Code (MTFCC) beginning with an ""H"" to indicate the super class of hydrographic features.",0
17,"Thirty- and ninety-year data sets of streamflow, groundwater recharge, and snowfall simulating potential hydrologic response to climate change in the 21st century in New Hampshire","The U.S. Geological Survey (USGS), in cooperation with the New Hampshire Department of Environmental Services (NHDES) and the Department of Health and Human Services (NHDHHS), has developed data to assess the effects of short- and long-term climate change on hydrology in New Hampshire. A USGS Scientific Investigations Report (SIR) documents the datasets developed by the USGS. The data presented in this data release represent future hydrologic climate projections developed using a calibrated USGS Precipitation Runoff Modeling System (PRMS) model using precipitation and air temperature inputs from five general circulation models (GCMs) for two future climate scenarios for the period 2009 to 2099. The data sets include simulated current and future streamflow, groundwater recharge, and snowfall output datasets. Average monthly streamflow time series data sets are provided for 21 streamgages in New Hampshire, 14 of which also provide daily streamflow time series, Average monthly groundwater recharge and snowfall time series for the same reference time frame and future time frame are also provided for each of the 467 hydrologic response units (HRUs) that compose the model.",1
18,"TIGER/Line Shapefile, 2023, County, Meigs County, OH, Topological Faces-Area Hydrography Relationship File","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.
 The Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) contains a record for each face / area hydrography feature relationship.  Face refers to the areal (polygon) topological primitives that make up MTDB.  A face is bounded by one or more edges; its boundary includes only the edges that separate it from other faces, not any interior edges contained within the area of the face.  The face to which a record in the Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) applies can be determined by linking to the Topological Faces Shapefile (FACES.shp) using the permanent topological face identifier (TFID) attribute.  The area hydrography feature to which a record in the Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) applies can be determined by linking to the Area Hydrography Shapefile (AREAWATER.shp) using the area hydrography identifier (HYDROID) attribute.  A face may be part of multiple area water features.  An area water feature may consist of multiple faces.",0
19,"TIGER/Line Shapefile, 2020, County, Oklahoma County, OK, All Roads","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.

The All Roads Shapefile includes all features within the MTDB Super Class ""Road/Path Features"" distinguished where the MAF/TIGER Feature Classification Code (MTFCC) for the feature in MTDB that begins with ""S"".  This includes all primary, secondary, local neighborhood, and rural roads, city streets, vehicular trails (4wd), ramps, service drives, alleys, parking lot roads, private roads for service vehicles (logging, oil fields, ranches, etc.), bike paths or trails, bridle/horse paths, walkways/pedestrian trails, stairways, and winter trails.",0
20,"TIGER/Line Shapefile, 2016,  county, Yell County, AR, All Lines County-based Shapefile","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.


Edge refers to the linear topological primitives that make up MTDB.  The All Lines Shapefile contains linear features such as roads, railroads, and hydrography.  Additional attribute data associated with the linear features found in the All Lines Shapefile are available in relationship (.dbf) files that users must download separately.  The All Lines Shapefile contains the geometry and attributes of each topological primitive edge.  Each edge has a unique TIGER/Line identifier (TLID) value.",0
21,"NNDSS - TABLE 1HH. Syphilis, Congenital to Syphilis, Primary and Secondary","NNDSS - TABLE 1HH. Syphilis, Congenital to Syphilis, Primary and Secondary – 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents.

Notice: Due to data processing issues at CDC, data for the following jurisdictions may be incomplete for week 7: Alaska, Arizona, California, Connecticut, Delaware, Florida, Hawaii, Louisiana, Maryland, Michigan, Missouri, North Dakota, New Hampshire, New York City, Oregon, Pennsylvania, and Rhode Island.

Note: 
This table contains provisional cases of national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. 

Footnotes:
U: Unavailable — The reporting jurisdiction was unable to send the data to CDC or CDC was unable to process the data.
-: No reported cases — The reporting jurisdiction did not submit any cases to CDC.
N: Not reportable — The disease or condition was not reportable by law, statute, or regulation in the reporting jurisdiction.
NN: Not nationally notifiable — This condition was not designated as being nationally notifiable.
NP: Nationally notifiable but not published.
NC: Not calculated — There is insufficient data available to support the calculation of this statistic.
Cum: Cumulative year-to-date counts.
 Max: Maximum — Maximum case count during the previous 52 weeks.
  * Case counts for reporting years 2020 and 2021 are provisional and subject to change. Cases are assigned to the reporting jurisdiction submitting the case to NNDSS, if the case's country of usual residence is the U.S., a U.S. territory, unknown, or null (i.e. country not reported); otherwise, the case is assigned to the 'Non-U.S. Residents' category. Country of usual residence is currently not reported by all jurisdictions or for all conditions. For further information on interpretation of these data, see https://wwwn.cdc.gov/nndss/document/Users_guide_WONDER_tables_cleared_final.pdf. 
†Previous 52 week maximum and cumulative YTD are determined from periods of time when the condition was reportable in the jurisdiction (i.e., may be less than 52 weeks of data or incomplete YTD data).",1
22,NNDSS - Table II. Rubella to Salmonellosis,"NNDSS - Table II. Rubella to Salmonellosis - 2016.  In this Table, provisional* cases of selected† notifiable diseases (≥1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data.  Data on United States exclude counts from US territories.
Note:
These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. 

Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. 

Footnotes:
C.N.M.I.: Commonwealth of Northern Mariana Islands. 
U: Unavailable.    -: No reported cases.    N: Not reportable.    NN: Not Nationally Notifiable.   NP:  Nationally notifiable but not published.    Cum: Cumulative year-to-date counts.    Med: Median.    Max: Maximum. 

 * Case counts for reporting year 2016 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. Data for TB are displayed in Table IV, which appears quarterly.
† Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions.",1
23,H05238B: NOS Hydrographic Survey,"The National Oceanic and Atmospheric Administration (NOAA) has the statutory mandate to collect hydrographic data in support of nautical chart compilation for safe navigation and to provide background data for engineers, scientific, and other commercial and industrial activities. Hydrographic survey data primarily consist of water depths, but may also include features (e.g. rocks, wrecks), navigation aids, shoreline identification, and bottom type information.
							NOAA is responsible for archiving and distributing the source data as described in this metadata record.",0
24,Water-table altitude of Nevada,"This is a raster-based, depth to ground-water data set for the State of Nevada. 
The source of this data set is a statewide water-table contour data set constructed 
from water-table contours collected from 1947 to 2004 and published in 38 reports 
from 1961 to 2004, depth to ground water contours from Static Ground Water Levels
 of Nevada published in 1974, and depth to ground water contours from Diamond 
Valley published in 2006.",0
25,2022–2023 Nationwide Blood Donor Seroprevalence Survey Combined Infection- and Vaccination-Induced Seroprevalence Estimates,"CDC is collaborating with Vitalant Research Institute, American Red Cross, and Westat Inc. to conduct a nationwide COVID-19 seroprevalence survey of blood donors. De-identified blood samples are tested for antibodies to SARS-CoV-2 to better understand the percentage of people in the United States who have antibodies against SARS-CoV-2 (the virus that causes COVID-19) and to track how this percentage changes over time. Both SARS-CoV-2 infection and COVID-19 vaccines currently used in the United States result in production of anti-spike (anti-S) antibodies but only infection results in production of anti-nucleocapsid (anti-N) antibodies.
Infection-induced seroprevalence estimates the proportion of the population with antibody evidence of previous SARS-CoV-2 infection and refers to the percent of the population with anti-nucleocapsid antibodies.
Combined infection-Induced and Vaccination-Induced seroprevalence estimates the proportion of the population with antibody evidence of previous SARS-CoV-2 infection, COVID-19 vaccination, or both, and refers to the percent of the population that has anti-spike antibodies, anti-nucleocapsid antibodies, or both.

This link connects to a webpage that displays the data from the Nationwide Blood Donor Seroprevalence Survey. It offers an interactive visualization available at https://covid.cdc.gov/covid-data-tracker/#nationwide-blood-donor-seroprevalence-2022",1
26,"TIGER/Line Shapefile, 2023, County, Portage County, OH, All Roads","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.
 The All Roads Shapefile includes all features within the MTDB Super Class ""Road/Path Features"" distinguished where the MAF/TIGER Feature Classification Code (MTFCC) for the feature in MTDB that begins with ""S"".  This includes all primary, secondary, local neighborhood, and rural roads, city streets, vehicular trails (4wd), ramps, service drives, alleys, parking lot roads, private roads for service vehicles (logging, oil fields, ranches, etc.), bike paths or trails, bridle/horse paths, walkways/pedestrian trails, and stairways.",0
27,Civic Engagement and Volunteering Supplement 2019,This dataset is the most comprehensive look at volunteering and civic life in the 50 states and 51 cities across the country.,1
28,"TIGER/Line Shapefile, 2016,  county, Anderson County, KY, Address Range-Feature Name County-based Relationship File","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.


The Address Range / Feature Name Relationship File (ADDRFN.dbf) contains a record for each address range / linear feature name relationship.  The purpose of this relationship file is to identify all street names associated with each address range.  An edge can have several feature names; an address range located on an edge can be associated with one or any combination of the available feature names (an address range can be linked to multiple feature names).  The address range is identified by the address range identifier (ARID) attribute that can be used to link to the Address Ranges Relationship File (ADDR.dbf).  The linear feature name is identified by the linear feature identifier (LINEARID) attribute that can be used to link to the Feature Names Relationship File (FEATNAMES.dbf).",0
